job_title,experience,salary,location,job_description,tech_stack
Lead Data Scientist,10-12 Yrs ,Not disclosed ,,At least 10 years of experience with 7 years of experience as data scientist using AI /...,"['Solution architecture', 'Data modeling', 'Machine learning', 'Data structures', 'Customer service', 'application architecture', 'Open source', 'MATLAB']"
Data Scientist,7-12 Yrs ,Not disclosed ,,. We are looking for an experienced Data Scientist with hands on experience in statisti...,"['Data analysis', 'ERP', 'Analytical', 'CMMI', 'Application development', 'MS Office', 'Data mining', 'Operations']"
Data Scientist,2-4 Yrs ,Not disclosed ,,Experience converting a business idea into a functional end-2-end AI project . Experien...,"['Product management', 'Quality monitoring', 'Machine learning', 'Radiology', 'Healthcare', 'Natural language processing', 'Data quality', 'Continuous improvement']"
Data Scientist,2-4 Yrs ,Not disclosed ,,Experience converting a business idea into a functional end-2-end AI project . Experien...,"['Product management', 'Quality monitoring', 'Machine learning', 'Radiology', 'Healthcare', 'Natural language processing', 'Data quality', 'Continuous improvement']"
Data Scientist,8-10 Yrs ,Not disclosed ,,Exp in the financial/Banking domain Data Science min 4 yrs. Exp i...,"['IT services', 'MIN', 'data science', 'Finance', 'Banking', 'Science', 'Data']"
Data Scientist,3-4 Yrs ,Not disclosed ,,"The candidate should have a strong background in statistical analysis, data modeling, a...","['IT services', 'Analytical skills', 'deep learning', 'Statistical analysis', 'Data modeling', 'Database design', 'Analytical', 'Machine learning']"
Data Scientist (Agriculture),4-9 Yrs ,Not disclosed ,,. Educational Qualifications: . Master s degree / Bachelor s degree in Mathematics / St...,"['Computer science', 'SAN', 'Analytical', 'SMS', 'Data quality', 'Business intelligence', 'Business solutions', 'Analytics']"
Principal Data Scientist,15-17 Yrs ,Not disclosed ,,"Experience with AWS Data and ML Technologies (Sagemaker, Glue, Athena, Redshift) . Qual...","['Product management', 'Computer science', 'Simulation', 'Enterprise applications', 'Enterprise architecture', 'Project management', 'Machine learning', 'Agile']"
Senior Data Scientist,4-8 Yrs ,Not disclosed ,,Job location Chennai /Bangalore [Work from office ] Regular ShiftsPreferred candidate p...,"['Python', 'Xgboost', 'Credit Risk', 'Model Building', 'Machine Learning', 'Ml Algorithms', 'Model Development', 'Random Forest']"
Senior Data Scientist,5-8 Yrs ,Not disclosed ,,Be adaptable and willing to shift focus when necessary to achieve rapid progress Profic...,"['SAN', 'Data analysis', 'Publishing', 'GIT', 'MySQL', 'Customer retention', 'Scheduling', 'Data mining']"
Data Scientist 3 - DS3,4-6 Yrs ,Not disclosed ,,"Requirements: . Bachelors or Master s degree in Computer Science, Statistics or Mathema...","['Unix', 'Linux', 'Coding', 'Machine learning', 'Customer service', 'Analytics', 'SQL', 'Python']"
Senior Data Scientist - Data and Analytics,7-10 Yrs ,Not disclosed ,,Prior experience with AWS Glue or Databricks and Redshift or Snowflake is a must THE QU...,"['Data analysis', 'Financial inclusion', 'Analytical', 'Data collection', 'Database administration', 'Agile', 'Analytics', 'Monitoring']"
Data Scientist,2-7 Yrs ,Not disclosed ,,. Extensive experience in applying state-of-the-art supervised and unsupervised machine...,"['Coding', 'Project management', 'Process improvement', 'Machine learning', 'Data collection', 'SIP', 'Stakeholder management', 'Release management']"
Data Scientist - II,3-6 Yrs ,Not disclosed ,,AI Data Scientist is a technical job that uses machine learning techniques to automat...,"['Computer science', 'Business services', 'Data analysis', 'Business analytics', 'Machine learning', 'Actuarial', 'Risk management', 'Portfolio management']"
Senior Data Scientist,3-5 Yrs ,Not disclosed ,,". Proficiency in Python and data science libraries (e.g., pandas, numpy, scikit-learn) ...","['Data analysis', 'data science', 'Machine learning', 'Hypothesis Testing', 'Predictive modeling', 'Data quality', 'Regression analysis', 'data visualization']"
Senior Data Scientist - Simulation,6-10 Yrs ,Not disclosed ,,Roles and Responsibilities- Brainstorming with Lob (lines of business) representatives ...,"['Data Science', 'Azure Cloud', 'Artificial Intelligence', 'Simulink', 'AWS Cloud', 'Python', 'Matlab', 'Simulation']"
Senior Data Scientist - Simulation,5-10 Yrs ,Not disclosed ,,Working experience with public cloud (AWS or Azure) is desirable,"['Data Science', 'Azure', 'Simulink', 'AWS', 'Matlab', 'Python', 'Software engineering', 'Simulation']"
Principal Data Scientist | Machine Learning | NLP,5-10 Yrs ,Not disclosed ,,"- Need to be able to communicate their findings, orally and visually.- Need to understa...","['NLP', 'Machine Learning', 'panda', 'Rnn', 'Explanable ai', 'Data Scientist', 'Matplot lib', 'LLM Lstm']"
Data Scientist,3-5 Yrs ,Not disclosed ,,Job Role : Data Scientist - IIPlease apply only if you are working in IT product compan...,"['Data Science', 'NLP', 'Machine learning', 'taxonomy building', 'Multi text learning', 'data mining', 'information retrieval', 'Keras']"
Lead Data Scientist - Merchandising,5-10 Yrs ,Not disclosed ,,Graduates in Computer Science from esteemed engineering institutes with a minimum of 5 ...,"['Consulting', 'Machine learning', 'Agile', 'Business solutions', 'Merchandising', 'Analytics', 'CRM', 'SQL']"
Data Scientist - Marketing / Campaign,4-5 Yrs ,Not disclosed ,,"Requirements . Bachelors or Masters degree in a relevant field (e.g., Data Science, Sta...","['IT services', 'Data analysis', 'Coding', 'Consulting', 'Customer retention', 'power bi', 'Forecasting', 'CRM']"
Senior Data Scientist,7-9 Yrs ,Not disclosed ,,. 7+ years of experience working with real world data in a professional environmentExpe...,"['Claims', 'Data management', 'Analytical', 'Pharma', 'Clinical research', 'Healthcare', 'Public health', 'Analytics']"
Data Scientist,2-5 Yrs ,Not disclosed ,,"The ideal candidate should have experience of working with . large data sets, using sta...","['Computer science', 'deep learning', 'Image processing', 'qlik sense', 'Time series analysis', 'Machine learning', 'Hypothesis Testing', 'data visualization']"
"Data Scientist - Recommendation, Content Science",2-6 Yrs ,Not disclosed ,,"Recommendation Systems: Improve the homepage user experience, autoplay experience using...","['Data Science', 'Recommender Systems', 'Natural Language Processing', 'Machine Learning', 'Languages', 'System', 'Process', 'Science']"
Lead Data Scientist,6-10 Yrs ,Not disclosed ,,"Bachelor s degree in a quantitative discipline, preferably Computer Science master s de...","['Supply chain', 'Product management', 'data science', 'Project management', 'Analytical', 'Consulting', 'Management consulting', 'Machine learning']"
Data Scientist - AI,3-8 Yrs ,Not disclosed ,,Responsibilities:Performing all technical development for assigned applications includ...,"['Python', 'Image Classification', 'Deep Learning/Machine Learning', 'Object Detection', 'Image processing', 'rest API', 'OpenCV', 'Keras/PyTorch/Tensorflow']"
Senior Data Scientist,7-12 Yrs ,Not disclosed ,,"Bachelor s or master s degree in computer science, Statistics, Mathematics, or a relate...","['Computer science', 'Analytical', 'Machine learning', 'SCALA', 'Predictive modeling', 'data privacy', 'data visualization', 'Data mining']"
Lead Data Scientist,7-12 Yrs ,Not disclosed ,,Candidate profile . 7+ years in the Industry with experience in building Machine learni...,"['Computer science', 'Analytical', 'Machine learning', 'Predictive modeling', 'Data mining', 'Business solutions', 'Information technology', 'Financial services']"
Data Scientist,3-8 Yrs ,Not disclosed ,,"Bachelor s or Master s degree in Statistics, Mathematics, Quantitative Analysis, Comput...","['Computer science', 'Data analysis', 'SAS', 'MIS', 'Analytical', 'Research', 'Information technology', 'Analytics']"
Data Scientist,3-8 Yrs ,Not disclosed ,,"We are looking for highly talented Data Scientist to join our team in Bengaluru, Ind...","['Computer science', 'Data analysis', 'SAS', 'data science', 'MIS', 'Analytical', 'Data analytics', 'Information technology']"
Lead Data Scientist,1-3 Yrs ,Not disclosed ,,"Requirements: . Bachelors degree in Computer Science, Statistics, Mathematics, or a rel...","['Supply chain', 'Product management', 'Data analysis', 'Data modeling', 'Project management', 'Analytical', 'Consulting', 'Management consulting']"
Data Scientist (Clinical Consultant/Clinical Data Scientist),3-8 Yrs ,Not disclosed ,,". What you need. 5+ years of experience in clinical coding, coding guidelines, protocol...","['Claims', 'Data management', 'Coding', 'Analytical', 'Pharma', 'Clinical research', 'Healthcare', 'Public health']"
Data Scientist,7-9 Yrs ,Not disclosed ,,". A bachelor s degree, or MSc degree in applied mathematics or statistics. 5+ years of ...","['Machine learning', 'Data collection', 'Programming', 'data visualization', 'Data mining', 'Risk management', 'MATLAB', 'Statistics']"
Data Scientist,5-10 Yrs ,Not disclosed ,,. 3 - 5 years of professional experience. 5+ years of programming in PythonC++ (include...,"['Data analysis', 'C++', 'Coding', 'Analytical', 'Data collection', 'Data quality', 'Medical insurance', 'Analytics']"
Applied Data Scientist,2-7 Yrs ,Not disclosed ,,"As a senior applied data scientist, you will work on novel problems that will propel...","['Automation', 'metadata', 'Managed services', 'Prototype', 'Linux', 'Image processing', 'Coding', 'Machine learning']"
Data Scientist,5-7 Yrs ,Not disclosed ,,"An advanced degree (Masters or PhD) in Engineering, Mathematics, Physics, Economics, Co...","['Data Scientist', 'python', 'data science', 'GCP', 'Databricks', 'machine learning', 'AWS', 'Data']"
ServiceNow Digital Data Scientist,5-10 Yrs ,Not disclosed ,,Experience finding and manipulating big data to build data sets . Experience in measure...,"['Outbound', 'Data analysis', 'Operations research', 'Online marketing', 'SEM', 'Regression analysis', 'microsoft', 'Data mining']"
Data Scientist,3-4 Yrs ,Not disclosed ,,"Coding experience in Java, Java Script (2-3 years) and Python (3-4 years)","['Coding', 'GCP', 'Machine learning', 'Javascript', 'Workflow', 'Deployment', 'AWS', 'Bpm']"
Junior Data Scientist,2-4 Yrs ,Not disclosed ,,"Certifications needed: AWS Certification, Microsoft Certified: Azure Data Scientist Ass...","['Data Science', 'Business Intelligence', 'R', 'Azure', 'Power BI', 'Predictive Maintenance', 'product development', 'Tableau']"
Digital Data Scientist,5-7 Yrs ,Not disclosed ,,Experience finding and manipulating big data to build data sets . Experience in measure...,"['Text mining', 'Outbound', 'Data analysis', 'Operations research', 'Online marketing', 'linear regression', 'SEM', 'Regression analysis']"
Data Scientist,8-10 Yrs ,Not disclosed ,,"This can include but not limited to techniques such as ETL batch processing, streaming ...","['Data Science', 'AWS', 'Tensorflow', 'Natural Language Processing', 'Pandas', 'Numpy', 'Process', 'Science']"
Data Scientist,1-4 Yrs ,Not disclosed ,,Job Description:Education and work experience: • A Bachelor's degree in CS/EC/EE engin...,"['deep learning', 'GIT', 'Nosql Databases', 'machine learning', 'Python', 'Pytorch', 'Tensorflow', 'SQL']"
Data Scientist,5-10 Yrs ,Not disclosed ,,"Bachelors or masters degree in computer science, Statistics, Mathematics, or a related ...","['Data Science', 'Data Mining', 'Machine Learning', 'analytics', 'Data', 'Machine', 'Science']"
